account_id,district_id,frequency,Date,Account_type,Card _assigned
576,55,Monthly Issuance,2017-01-01,Savings account,Silver
3818,74,Monthly Issuance,2017-01-01,NRI account,Silver
704,55,Monthly Issuance,2017-01-01,Salary account,Silver
2378,16,Monthly Issuance,2017-01-01,Savings account,Silver
2632,24,Monthly Issuance,2017-01-02,NRI account,Silver
1972,77,Monthly Issuance,2017-01-02,NRI account,Silver
1539,1,Issuance After a Transaction,2017-01-03,Savings account,Gold
793,47,Monthly Issuance,2017-01-03,Salary account,Silver
2484,74,Monthly Issuance,2017-01-03,Salary account,Silver
1695,76,Monthly Issuance,2017-01-03,Savings account,Silver
1726,48,Monthly Issuance,2017-01-03,NRI account,Silver
2881,70,Monthly Issuance,2017-01-04,Salary account,Silver
2357,19,Monthly Issuance,2017-01-04,Savings account,Silver
2177,62,Monthly Issuance,2017-01-04,Salary account,Silver
485,6,Issuance After a Transaction,2017-01-04,NRI account,Gold
652,21,Monthly Issuance,2017-01-05,Savings account,Silver
9635,70,Monthly Issuance,2017-01-05,Salary account,Silver
1844,44,Monthly Issuance,2017-01-06,Savings account,Silver
1926,37,Monthly Issuance,2017-01-06,Savings account,Silver
2393,10,Monthly Issuance,2017-01-07,NRI account,Silver
3510,41,Monthly Issuance,2017-01-07,Savings account,Silver
1276,36,Monthly Issuance,2017-01-07,Salary account,Silver
1637,1,Monthly Issuance,2017-01-08,NRI account,Silver
3871,26,Monthly Issuance,2017-01-08,Salary account,Silver
192,55,Monthly Issuance,2017-01-08,Salary account,Silver
764,1,Monthly Issuance,2017-01-08,Salary account,Silver
2087,7,Weekly Issuance,2017-01-08,Savings account,Diamond
2122,68,Monthly Issuance,2017-01-08,Savings account,Silver
3592,54,Monthly Issuance,2017-01-08,NRI account,Silver
3487,41,Monthly Issuance,2017-01-08,Salary account,Silver
435,38,Monthly Issuance,2017-01-08,NRI account,Silver
1730,1,Monthly Issuance,2017-01-09,NRI account,Silver
1493,41,Monthly Issuance,2017-01-09,NRI account,Silver
374,38,Monthly Issuance,2017-01-09,Savings account,Silver
2925,1,Monthly Issuance,2017-01-10,NRI account,Silver
866,9,Monthly Issuance,2017-01-10,Savings account,Silver
1628,60,Monthly Issuance,2017-01-10,Salary account,Silver
2379,44,Monthly Issuance,2017-01-10,NRI account,Silver
1979,26,Monthly Issuance,2017-01-11,Salary account,Silver
346,37,Monthly Issuance,2017-01-11,Savings account,Silver
1338,74,Monthly Issuance,2017-01-11,Salary account,Silver
1909,14,Monthly Issuance,2017-01-12,NRI account,Silver
2099,3,Weekly Issuance,2017-01-12,Savings account,Diamond
3760,44,Monthly Issuance,2017-01-13,NRI account,Silver
5270,44,Monthly Issuance,2017-01-13,NRI account,Silver
1699,53,Monthly Issuance,2017-01-14,Salary account,Silver
3909,1,Monthly Issuance,2017-01-14,Savings account,Silver
2926,50,Monthly Issuance,2017-01-14,NRI account,Silver
1731,33,Monthly Issuance,2017-01-14,NRI account,Silver
11265,15,Monthly Issuance,2017-01-14,Savings account,Silver
2519,4,Monthly Issuance,2017-01-15,NRI account,Silver
10364,55,Monthly Issuance,2017-01-17,NRI account,Silver
1481,15,Monthly Issuance,2017-01-17,NRI account,Silver
401,32,Monthly Issuance,2017-01-18,Savings account,Silver
4034,1,Monthly Issuance,2017-01-18,Savings account,Silver
2330,54,Monthly Issuance,2017-01-19,NRI account,Silver
1806,40,Monthly Issuance,2017-01-19,NRI account,Silver
3834,54,Monthly Issuance,2017-01-19,NRI account,Silver
1222,66,Monthly Issuance,2017-01-20,Savings account,Silver
212,27,Weekly Issuance,2017-01-20,Savings account,Diamond
456,49,Monthly Issuance,2017-01-21,Savings account,Silver
459,47,Monthly Issuance,2017-01-21,NRI account,Silver
772,45,Monthly Issuance,2017-01-21,Savings account,Silver
1019,52,Monthly Issuance,2017-01-21,NRI account,Silver
11295,74,Monthly Issuance,2017-01-21,Salary account,Silver
2970,60,Monthly Issuance,2017-01-22,Salary account,Silver
2676,73,Monthly Issuance,2017-01-22,Savings account,Silver
1536,41,Weekly Issuance,2017-01-22,Savings account,Diamond
1179,74,Monthly Issuance,2017-01-23,NRI account,Silver
280,25,Monthly Issuance,2017-01-23,NRI account,Silver
2425,41,Monthly Issuance,2017-01-23,Salary account,Silver
9307,68,Monthly Issuance,2017-01-24,NRI account,Silver
4055,23,Monthly Issuance,2017-01-24,Savings account,Silver
5065,66,Monthly Issuance,2017-01-24,Salary account,Silver
3704,75,Monthly Issuance,2017-01-24,NRI account,Silver
477,1,Monthly Issuance,2017-01-25,Salary account,Silver
5891,54,Monthly Issuance,2017-01-25,NRI account,Silver
1000,77,Monthly Issuance,2017-01-25,Salary account,Silver
1750,1,Monthly Issuance,2017-01-26,NRI account,Silver
2023,68,Monthly Issuance,2017-01-26,NRI account,Silver
6473,12,Monthly Issuance,2017-01-26,Salary account,Silver
1649,46,Monthly Issuance,2017-01-26,Savings account,Silver
2670,13,Monthly Issuance,2017-01-27,Salary account,Silver
1127,27,Monthly Issuance,2017-01-27,Salary account,Silver
163,30,Monthly Issuance,2017-01-27,NRI account,Silver
2566,48,Monthly Issuance,2017-01-27,Savings account,Silver
9,70,Monthly Issuance,2017-01-27,Salary account,Silver
1144,59,Monthly Issuance,2017-01-28,Savings account,Silver
2902,32,Monthly Issuance,2017-01-28,Savings account,Silver
4296,63,Monthly Issuance,2017-01-28,Savings account,Silver
443,64,Monthly Issuance,2017-01-28,Salary account,Silver
3693,61,Monthly Issuance,2017-01-29,Savings account,Silver
2070,72,Monthly Issuance,2017-01-29,NRI account,Silver
1843,12,Monthly Issuance,2017-01-30,Salary account,Silver
2714,1,Monthly Issuance,2017-01-30,Salary account,Silver
4078,40,Monthly Issuance,2017-01-30,Salary account,Silver
1675,36,Monthly Issuance,2017-02-01,NRI account,Silver
5868,44,Monthly Issuance,2017-02-02,NRI account,Silver
1805,1,Monthly Issuance,2017-02-02,NRI account,Silver
2434,17,Monthly Issuance,2017-02-02,Salary account,Silver
3007,16,Monthly Issuance,2017-02-02,NRI account,Silver
2574,68,Monthly Issuance,2017-02-02,Salary account,Silver
862,64,Weekly Issuance,2017-02-02,NRI account,Diamond
1132,1,Weekly Issuance,2017-02-03,Salary account,Diamond
4484,54,Monthly Issuance,2017-02-03,Savings account,Silver
943,1,Monthly Issuance,2017-02-03,NRI account,Silver
3514,7,Monthly Issuance,2017-02-03,Savings account,Silver
3983,67,Monthly Issuance,2017-02-04,Salary account,Silver
9265,1,Monthly Issuance,2017-02-04,Savings account,Silver
465,32,Monthly Issuance,2017-02-04,Salary account,Silver
982,54,Monthly Issuance,2017-02-05,Salary account,Silver
411,70,Monthly Issuance,2017-02-05,Savings account,Silver
890,14,Monthly Issuance,2017-02-05,NRI account,Silver
627,63,Monthly Issuance,2017-02-05,Salary account,Silver
2429,61,Monthly Issuance,2017-02-06,NRI account,Silver
3960,64,Monthly Issuance,2017-02-06,Salary account,Silver
2256,48,Monthly Issuance,2017-02-06,Savings account,Silver
8051,1,Weekly Issuance,2017-02-07,NRI account,Diamond
2647,73,Monthly Issuance,2017-02-08,Salary account,Silver
2241,6,Monthly Issuance,2017-02-08,Salary account,Silver
5622,70,Monthly Issuance,2017-02-08,NRI account,Silver
